"Year","Product","Tot.","Mean","STD"
"2003","Wang",298445.23,32.63,23.62
"2003","Xu",537177.59,57.9,34.08
"2003","Liu",416498.83,48.51,53.86
"2003","AGB_VM",420630.96,52.1,32.83
"2003","ESA_CCI",NA,NA,NA
"2004","Wang",296612.19,32.45,23.54
"2004","Xu",550839.97,59.47,36.34
"2004","Liu",415358.83,48.39,53.93
"2004","AGB_VM",428054.05,52.9,33.66
"2004","ESA_CCI",NA,NA,NA
"2005","Wang",295145.95,32.31,23.48
"2005","Xu",541692.36,58.5,36.14
"2005","Liu",417102.64,48.59,53.96
"2005","AGB_VM",407052.9,50.51,31.89
"2005","ESA_CCI",NA,NA,NA
"2006","Wang",294806.46,32.27,23.41
"2006","Xu",539099.86,58.1,35.3
"2006","Liu",416476.16,48.52,53.93
"2006","AGB_VM",403486.87,50.1,31.63
"2006","ESA_CCI",NA,NA,NA
"2007","Wang",294828.41,32.26,23.37
"2007","Xu",550006.74,59.47,34.02
"2007","Liu",423724.96,49.44,55.07
"2007","AGB_VM",415477.53,51.29,31.61
"2007","ESA_CCI",NA,NA,NA
"2008","Wang",294908.6,32.26,23.35
"2008","Xu",544624.16,59.01,33.69
"2008","Liu",416149.49,48.49,53.86
"2008","AGB_VM",403921.07,50.17,31.83
"2008","ESA_CCI",NA,NA,NA
"2009","Wang",294926.49,32.25,23.3
"2009","Xu",548312.09,59.24,33.91
"2009","Liu",418998.16,48.82,54.23
"2009","AGB_VM",395578.87,49.17,31.51
"2009","ESA_CCI",NA,NA,NA
"2010","Wang",295190.25,32.27,23.26
"2010","Xu",542888.38,58.49,35.38
"2010","Liu",421644.29,49.16,54.3
"2010","AGB_VM",390098.78,48.22,30.48
"2010","ESA_CCI",407011.51,45.5,34.11
"2011","Wang",295814.77,32.32,23.24
"2011","Xu",540963.59,58.47,33.43
"2011","Liu",423251.68,49.38,54.83
"2011","AGB_VM",395382.71,48.95,31.35
"2011","ESA_CCI",NA,NA,NA
"2012","Wang",297231.13,32.47,23.28
"2012","Xu",550431.66,59.39,34.8
"2012","Liu",422970.47,49.34,54.43
"2012","AGB_VM",404376.06,51.08,33.09
"2012","ESA_CCI",NA,NA,NA
"2013","Wang",298933.78,32.65,23.34
"2013","Xu",563657.45,61.19,36.07
"2013","Liu",NA,NA,NA
"2013","AGB_VM",399792.67,50.91,32.22
"2013","ESA_CCI",NA,NA,NA
"2014","Wang",300415.38,32.81,23.37
"2014","Xu",547810.48,59.27,35.03
"2014","Liu",NA,NA,NA
"2014","AGB_VM",368231.17,46.87,30.15
"2014","ESA_CCI",NA,NA,NA
"2015","Wang",NA,NA,NA
"2015","Xu",543759.86,58.64,36
"2015","Liu",NA,NA,NA
"2015","AGB_VM",404895.79,51.44,32.89
"2015","ESA_CCI",NA,NA,NA
"2016","Wang",NA,NA,NA
"2016","Xu",575023.6,62.06,37.59
"2016","Liu",NA,NA,NA
"2016","AGB_VM",400667.46,51.04,32.76
"2016","ESA_CCI",NA,NA,NA
"2017","Wang",NA,NA,NA
"2017","Xu",548281.6,59.14,35.78
"2017","Liu",NA,NA,NA
"2017","AGB_VM",415784.51,53.13,36.31
"2017","ESA_CCI",854296.32,50.52,37.05
